internship_title,internship_company,required_skills,internship_location,required_education
Safety Officer,WESTERN COALFIELDS LIMITED,"Surveying, Ore Processing",Chennai,M.Sc
Sales Executive,BHARAT BIOTECH INTERNATIONAL LIMITED,"Sales, Retail Management",Chennai,B.Sc
Environmental Officer,NORTHERN COALFIELDS LIMITED,"Exploration, Geology, Surveying, Safety Management",Chennai,MBA
Marketing Executive,HERBALIFE INTERNATIONAL INDIA PRIVATE LIMITED,"Distribution, Brand Management, Product Development",Jaipur,BCA
Sales Executive,GRANULES INDIA LIMITED,"Supply Chain, Distribution, Brand Management, Product Development",Jaipur,BBA
Surveyor,ASHOKA BUILDCON LIMITED,"Safety Management, Surveying",Mumbai,B.Com
Web Developer,DELL INTERNATIONAL SERVICES INDIA PRIVATE LIMITED,"JavaScript, DevOps",Kolkata,B.Sc
Supply Chain Analyst,RSPL LIMITED,"Supply Chain, Consumer Insights",Kolkata,B.Tech
Data Analyst,ADOBE SYSTEMS INDIA PRIVATE LIMITED,"Cloud Computing, JavaScript, Python",Delhi,BBA
Mining Engineer,MOIL LIMITED,"Exploration, Mining Engineering",Mumbai,PhD
Cloud Architect,MPHASIS LIMITED,"JavaScript, React, Java, Cloud Computing",Mumbai,PhD
Cloud Architect,ICICI PRUDENTIAL ASSET MANAGEMENT COMPANY LIMITED,"Cloud Computing, React, Cybersecurity",Pune,MBA
Sales Executive,BHARAT BIOTECH INTERNATIONAL LIMITED,"Marketing, Supply Chain, Brand Management, Distribution",Mumbai,BA
Safety Officer,GUJARAT GAS LIMITED,"Field Operations, Refining, Reservoir Engineering",Mumbai,BBA
Sales Executive,DR.REDDY S LABORATORIES LTD,"Product Development, Consumer Insights, Distribution, Supply Chain",Lucknow,B.Sc
Civil Engineer,GHCL LIMITED,"Structural Design, Estimation",Ahmedabad,M.Sc
Software Developer,MUSIGMA BUSINESS SOLUTIONS PRIVATE LIMITED,"Cybersecurity, JavaScript, Machine Learning",Lucknow,B.Com
Distribution Manager,SIKKA PORTS & TERMINALS LIMITED,"Warehouse Operations, Logistics Planning, Transportation, Inventory Management",Bangalore,BA
Structural Engineer,TRIDENT LIMITED,"Safety Management, Surveying, Quality Control, Estimation",Lucknow,Diploma
DevOps Engineer,ENDURANCE TECHNOLOGIES LIMITED,"Python, Cloud Computing, SQL, Data Analysis",Hyderabad,PhD
Marketing Executive,EVEREST FOOD PRODUCTS PRIVATE LIMITED,"Product Development, Brand Management",Pune,B.Tech
DevOps Engineer,CITICORP SERVICES INDIA PRIVATE LIMITED,"Python, Cybersecurity, Java",Remote,BCA
IT Support,INFOSYS LIMITED,"SQL, DevOps, Cloud Computing, Cybersecurity",Ahmedabad,B.Com
Retail Manager,LUPIN LIMITED,"Consumer Insights, Brand Management, Retail Management, Product Development",Chennai,BA
Retail Manager,EMCURE PHARMACEUTICALS LIMITED,"Product Development, Brand Management, Sales, Supply Chain",Mumbai,PhD
Sales Executive,RECKITT BENCKISER (INDIA) PRIVATE LIMITED,"Consumer Insights, Retail Management",Hyderabad,M.Sc
Web Developer,DXC TECHNOLOGY INDIA PRIVATE LIMITED,"Python, Cybersecurity, Java, DevOps",Jaipur,Diploma
Petroleum Engineer,ADANI TOTAL GAS LIMITED,"Geology, Field Operations, Pipeline Maintenance",Lucknow,MBA
Software Developer,PRESTIGE ESTATES PROJECTS LIMITED,"Cybersecurity, Java, SQL",Pune,B.Com
Civil Engineer,HEIDELBERGCEMENT INDIA LIMITED.,"Estimation, Project Management, Quality Control, Safety Management",Ahmedabad,B.Tech
Civil Engineer,HEIDELBERGCEMENT INDIA LIMITED.,"Estimation, Project Management, Quality Control, Safety Management",Ahmedabad,B.Tech
Field Engineer,GUJARAT STATE PETRONET LIMITED,"Reservoir Engineering, Drilling Operations, Field Operations",Kolkata,Diploma
Cloud Architect,MACROTECH DEVELOPERS LIMITED,"DevOps, JavaScript",Jaipur,B.Sc
Renewable Energy Specialist,KARNATAKA POWER TRANSMISSION CORPORATION LIMITED,"Energy Efficiency, Renewable Energy, Power Plant Operations",Lucknow,BCA
Cloud Architect,SKODA AUTO VOLKSWAGEN INDIA PRIVATE LIMITED,"React, Data Analysis",Remote,B.Sc
Cloud Architect,INDIAN RAILWAY FINANCE CORPORATION LIMITED,"Java, React, JavaScript, Cloud Computing",Jaipur,BA
Mineral Processing Engineer,PRAKASH INDUSTRIES LIMITED,"Surveying, Safety Management",Chennai,BBA
Construction Manager,RASHMI CEMENT LIMITED,"Civil Engineering, Project Management, Safety Management",Pune,B.Com
Civil Engineer,DALMIA CEMENT (BHARAT) LIMITED,"Estimation, Surveying",Hyderabad,BA
R&D Engineer,HP INDIA SALES PRIVATE LIMITED,"Embedded Systems, Manufacturing, Testing",Chennai,BCA
Project Engineer,J. K. CEMENT LIMITED,"Safety Management, Surveying",Ahmedabad,BBA
Cloud Architect,KANSAI NEROLAC PAINTS LIMITED,"Java, JavaScript",Lucknow,BBA
Data Analyst,SAMMAAN CAPITAL LIMITED,"Cybersecurity, Data Analysis",Lucknow,PhD
Mining Engineer,MOIL LIMITED,"Exploration, Mining Engineering",Mumbai,PhD
IT Support,SOBHA LIMITED,"Cloud Computing, Cybersecurity",Bangalore,B.Com
Structural Engineer,TRIDENT LIMITED,"Safety Management, Surveying, Quality Control, Estimation",Lucknow,Diploma
Construction Manager,GUJARAT FLUOROCHEMICALS LIMITED,"Project Management, Safety Management, Structural Design",Chennai,PhD
Site Engineer,RAIL VIKAS NIGAM LIMITED,"Structural Design, Surveying, Construction Management, Safety Management",Pune,Diploma
Structural Engineer,K.P.R. MILL LIMITED,"Estimation, Safety Management, Construction Management",Pune,B.Tech
QA Engineer,NOVATEUR ELECTRICAL & DIGITAL SYSTEMS PRIVATE LIMITED,"Java, JavaScript, React",Mumbai,M.Sc
Cloud Architect,ADOBE SYSTEMS INDIA PRIVATE LIMITED,"Python, React, SQL, Machine Learning",Chennai,BCA
Distribution Executive,MONDELEZ INDIA FOODS PRIVATE LIMITED,"Consumer Insights, Sales, Marketing, Distribution",Delhi,M.Sc
RF Engineer,ATC TELECOM INFRASTRUCTURE PRIVATE LIMITED,"Data Transmission, RF Engineering",Hyderabad,PhD
QA Engineer,MUTHOOT FINANCE LIMITED,"Data Analysis, SQL, JavaScript, Cybersecurity",Bangalore,BCA
Data Analyst,MICROSOFT INDIA (R&D) PRIVATE LIMITED,"Cloud Computing, SQL",Remote,BA
Mineral Processing Engineer,JSW STEEL LIMITED,"Mining Engineering, Exploration",Lucknow,PhD
Thermal Engineer,NTPC LIMITED,"Renewable Energy, Power Plant Operations",Bangalore,B.Sc
DevOps Engineer,INTEL TECHNOLOGY INDIA PRIVATE LIMITED,"Cybersecurity, React, Python",Bangalore,BBA
QA Engineer,HDB FINANCIAL SERVICES LIMITED,"Java, Python, Machine Learning, Cybersecurity",Kolkata,B.Sc
Product Manager,GODREJ CONSUMER PRODUCTS LIMITED,"Consumer Insights, Marketing",Kolkata,M.Sc
IT Support,GENPACT INDIA PRIVATE LIMITED,"Machine Learning, SQL",Bangalore,B.Sc
Electrical Engineer,JSW ENERGY LIMITED,"Transmission, Energy Efficiency, Maintenance, Power Plant Operations",Delhi,MBA
Web Developer,HDFC SECURITIES LIMITED,"Python, JavaScript, React, DevOps",Chennai,PhD
Data Analyst,PIRAMAL CAPITAL & HOUSING FINANCE LIMITED,"React, Python, Cybersecurity",Delhi,Diploma
Brand Manager,PIRAMAL PHARMA LIMITED,"Marketing, Sales, Consumer Insights",Lucknow,BCA
Credit Analyst,EQUITAS SMALL FINANCE BANK LIMITED,"Risk Management, Auditing",Hyderabad,BA
Consumer Insights Analyst,SERUM INSTITUTE OF INDIA PRIVATE LIMITED,"Consumer Insights, Brand Management, Sales, Marketing",Jaipur,BA
Financial Analyst,MAX LIFE INSURANCE COMPANY LIMITED,"Taxation, Auditing, Investment Banking, Financial Modeling",Chennai,BBA
Software Developer,PRESTIGE ESTATES PROJECTS LIMITED,"Cybersecurity, Java, SQL",Pune,B.Com
Maintenance Engineer,TORRENT POWER LIMITED,"Electrical Engineering, Grid Management",Lucknow,B.Sc
Retail Manager,GLENMARK PHARMACEUTICALS LIMITED,"Supply Chain, Retail Management, Brand Management, Distribution",Bangalore,BA
Supply Chain Analyst,PARLE BISCUITS PRIVATE LIMITED,"Supply Chain, Marketing, Distribution, Brand Management",Pune,B.Tech
IT Support,CAN FIN HOMES LIMITED,"JavaScript, SQL, Java",Remote,PhD
Project Engineer,DEEPAK NITRITE LIMITED,"Estimation, Civil Engineering, Structural Design",Remote,B.Tech
QA Engineer,VOLTAS LIMITED,"SQL, Machine Learning",Mumbai,MBA
Treasury Analyst,TAMILNAD MERCANTILE BANK LIMITED,"Financial Modeling, Financial Analysis, Risk Management, Investment Banking",Remote,MBA
Distribution Executive,PIRAMAL ENTERPRISES LIMITED,"Sales, Marketing",Remote,Diploma
Software Developer,L&T TECHNOLOGY SERVICES LIMITED,"Data Analysis, Machine Learning",Hyderabad,M.Sc
Consumer Insights Analyst,USV PRIVATE LIMITED,"Supply Chain, Distribution, Product Development",Remote,B.Tech
Data Analyst,CGI INFORMATION SYSTEMS AND MANAGEMENT CONSULTANTS PRIVATE LIMITED,"Java, React",Jaipur,BA
Credit Analyst,CITY UNION BANK LIMITED,"Financial Modeling, Accounting, Taxation, Financial Analysis",Ahmedabad,BA
Quality Inspector,PKC INFRATECH LIMITED,"Safety Management, Structural Design, Surveying",Jaipur,Diploma
Relationship Manager,BANDHAN BANK LIMITED,"Wealth Management, Auditing, Financial Analysis, Accounting",Kolkata,Diploma
Mining Engineer,THE SINGARENI COLLIERIES COMPANY LIMITED,"Surveying, Geology",Jaipur,BA
Site Engineer,RAIL VIKAS NIGAM LIMITED,"Structural Design, Surveying, Construction Management, Safety Management",Pune,Diploma
Electronics Engineer,HP INDIA SALES PRIVATE LIMITED,"Manufacturing, Embedded Systems, R&D",Hyderabad,PhD
Accountant,KOTAK MAHINDRA BANK LIMITED,"Investment Banking, Loan Processing, Financial Analysis",Delhi,BA
QA Engineer,STAR INDIA PRIVATE LIMITED,"React, Cloud Computing, Data Analysis, Cybersecurity",Mumbai,MBA
Thermal Engineer,JAMNAGAR UTILITIES & POWER PRIVATE LIMITED,"Maintenance, Renewable Energy, Thermal Power, Transmission",Hyderabad,B.Sc
Civil Engineer,PKC INFRATECH LIMITED,"Estimation, Structural Design, Surveying, Quality Control",Hyderabad,B.Com
Grid Engineer,NTPC LIMITED,"Power Plant Operations, Energy Efficiency, Grid Management",Lucknow,BA
Data Analyst,INFO EDGE (INDIA) LIMITED,"Data Analysis, DevOps, Cybersecurity",Chennai,Diploma
DevOps Engineer,AMARA RAJA ENERGY & MOBILITY LIMITED,"React, Python, Cybersecurity, Java",Ahmedabad,PhD
Credit Analyst,SHRIRAM GENERAL INSURANCE COMPANY LIMITED,"Wealth Management, Financial Modeling, Investment Banking",Jaipur,M.Sc
Machine Learning Engineer,KANSAI NEROLAC PAINTS LIMITED,"SQL, Cloud Computing",Pune,BCA
Data Analyst,CYBAGE SOFTWARE PRIVATE LIMITED,"SQL, Machine Learning, JavaScript, Java",Jaipur,PhD
Data Analyst,BALRAMPUR CHINI MILLS LTD,"SQL, Cloud Computing",Remote,BBA
Software Developer,ATRIA CONVERGENCE TECHNOLOGIES LIMITED,"Python, Cloud Computing",Chennai,B.Sc
Safety Officer,FINOLEX INDUSTRIES LIMITED,"Civil Engineering, Safety Management, Estimation, Construction Management",Delhi,M.Sc
Distribution Executive,FRIGERIO CONSERVA ALLANA PRIVATE LIMITED,"Supply Chain, Product Development, Retail Management, Consumer Insights",Remote,PhD
Software Developer,GOOGLE IT SERVICES INDIA PRIVATE LIMITED,"DevOps, React, Data Analysis",Lucknow,B.Tech
Inventory Analyst,GMR HYDERABAD INTERNATIONAL AIRPORT LIMITED,"Transportation, Supply Chain Management, Procurement, Inventory Management",Bangalore,B.Sc
QA Engineer,GOOGLE IT SERVICES INDIA PRIVATE LIMITED,"Python, Cybersecurity, React, JavaScript",Lucknow,B.Sc
Machine Learning Engineer,TATA CONSULTANCY SERVICES LIMITED,"Java, DevOps, SQL, Cybersecurity",Kolkata,B.Sc
QA Engineer,STAR INDIA PRIVATE LIMITED,"React, Cloud Computing, Data Analysis, Cybersecurity",Mumbai,MBA
Web Developer,SUN TV NETWORK LIMITED,"React, DevOps, Machine Learning",Ahmedabad,B.Tech
IT Support,TECH MAHINDRA LIMITED,"SQL, Machine Learning, Python",Jaipur,B.Com
Customer Support Engineer,ATC TELECOM INFRASTRUCTURE PRIVATE LIMITED,"Wireless Communication, Data Transmission, Optical Fiber",Hyderabad,PhD
Consumer Insights Analyst,ZYDUS LIFESCIENCES LIMITED,"Distribution, Marketing, Sales",Lucknow,B.Tech
Software Developer,BERGER PAINTS INDIA LIMITED,"DevOps, React",Chennai,M.Sc
Thermal Engineer,TANJORE POWER LIMITED,"Maintenance, Thermal Power, Renewable Energy",Remote,MBA
Site Engineer,RAIL VIKAS NIGAM LIMITED,"Structural Design, Surveying, Construction Management, Safety Management",Pune,Diploma
QA Engineer,CGI INFORMATION SYSTEMS AND MANAGEMENT CONSULTANTS PRIVATE LIMITED,"Python, Cloud Computing, SQL, React",Kolkata,B.Tech
Retail Manager,DIVI S LABORATORIES LIMITED,"Brand Management, Product Development, Supply Chain, Marketing",Pune,BA
IT Support,BAJAJ HOLDINGS & INVESTMENT LIMITED.,"Machine Learning, SQL, Python",Jaipur,B.Com
Data Analyst,IBM INDIA PRIVATE LIMITED,"Data Analysis, DevOps, Machine Learning, Java",Pune,BCA
IT Support,INTERNATIONAL TRACTORS LIMITED,"Java, DevOps, React, Cybersecurity",Kolkata,B.Com
Project Engineer,SJVN LIMITED,"Electrical Engineering, Grid Management, Power Plant Operations",Ahmedabad,MBA
IT Support,STANDARD CHARTERED GLOBAL BUSINESS SERVICES PRIVATE LIMITED,"Cloud Computing, Python, Cybersecurity",Lucknow,B.Com
Civil Engineer,ASHOKA BUILDCON LIMITED,"Quality Control, Safety Management",Mumbai,B.Sc
Civil Engineer,NCC LIMITED,"Surveying, Construction Management, Estimation, Civil Engineering",Delhi,BBA
QA Engineer,CGI INFORMATION SYSTEMS AND MANAGEMENT CONSULTANTS PRIVATE LIMITED,"Python, Cloud Computing, SQL, React",Kolkata,B.Tech
Data Analyst,YARDI SOFTWARE INDIA PRIVATE LIMITED,"Java, React, DevOps, Cloud Computing",Mumbai,B.Com
DevOps Engineer,MACROTECH DEVELOPERS LIMITED,"Java, Python, Cybersecurity, Machine Learning",Chennai,PhD
Safety Officer,RAIL VIKAS NIGAM LIMITED,"Quality Control, Project Management, Structural Design, Estimation",Lucknow,MBA
Machine Learning Engineer,CROMPTON GREAVES CONSUMER ELECTRICALS LIMITED,"SQL, Machine Learning, DevOps",Delhi,Diploma
Product Manager,ADANI WILMAR LIMITED,"Supply Chain, Marketing, Distribution, Brand Management",Kolkata,B.Tech
Retail Manager,BRITANNIA INDUSTRIES LTD,"Marketing, Brand Management, Retail Management, Product Development",Mumbai,B.Tech
Cloud Architect,FINOLEX CABLES LIMITED,"Python, DevOps, SQL, Machine Learning",Lucknow,BBA
Software Developer,CGI INFORMATION SYSTEMS AND MANAGEMENT CONSULTANTS PRIVATE LIMITED,"DevOps, JavaScript, Data Analysis, Cloud Computing",Bangalore,BBA
Credit Analyst,EQUITAS SMALL FINANCE BANK LIMITED,"Risk Management, Auditing",Hyderabad,BA
Data Analyst,INDIAN RAILWAY CATERING AND TOURISM CORPORATION LIMITED,"DevOps, Cybersecurity",Remote,MBA
Sales Executive,TATA CONSUMER PRODUCTS LIMITED,"Brand Management, Marketing, Retail Management, Supply Chain",Hyderabad,PhD
Software Developer,ORACLE INDIA PRIVATE LIMITED,"Python, DevOps, Data Analysis, Cloud Computing",Remote,PhD
Safety Officer,INDIAN METALS AND FERRO ALLOYS LTD.,"Surveying, Mining Engineering",Remote,BA
Surveyor,RAIL VIKAS NIGAM LIMITED,"Construction Management, Surveying, Safety Management, Quality Control",Ahmedabad,M.Sc
Customer Support Engineer,INDUS TOWERS LIMITED,"Data Transmission, Wireless Communication",Kolkata,MBA
Exploration Geologist,STEEL AUTHORITY OF INDIA LIMITED,"Exploration, Environmental Compliance, Mineral Processing",Hyderabad,Diploma
Surveyor,GUJARAT NARMADA VALLEY FERTILIZERS & CHEMICALS LIMITED,"Safety Management, Surveying, Construction Management",Pune,BA
Web Developer,HDFC SECURITIES LIMITED,"React, Java, Cloud Computing, JavaScript",Lucknow,BA
Mineral Processing Engineer,JSW STEEL LIMITED,"Mining Engineering, Exploration",Lucknow,PhD
IT Support,INTERNATIONAL TRACTORS LIMITED,"Java, DevOps, React, Cybersecurity",Kolkata,B.Com
Data Analyst,SBI FUNDS MANAGEMENT LIMITED,"DevOps, Machine Learning",Bangalore,M.Sc
Electronics Engineer,APPLE INDIA PRIVATE LIMITED,"Electronics Design, Manufacturing",Pune,Diploma
Mineral Processing Engineer,MAHANADI COALFIELDS LIMITED,"Safety Management, Mineral Processing, Environmental Compliance",Ahmedabad,BA
Machine Learning Engineer,STAR INDIA PRIVATE LIMITED,"Cybersecurity, React",Mumbai,BA
Software Developer,ADANI ENTERPRISES LIMITED,"Cybersecurity, Data Analysis, React, Machine Learning",Lucknow,B.Tech
Brand Manager,JUBILANT FOODWORKS LIMITED,"Product Development, Distribution, Sales",Chennai,B.Tech
DevOps Engineer,WIPRO ENTERPRISES PRIVATE LIMITED,"Python, Machine Learning, SQL",Mumbai,BCA
Relationship Manager,HDFC BANK LIMITED,"Loan Processing, Financial Modeling, Auditing, Accounting",Mumbai,M.Sc
Machine Learning Engineer,WNS GLOBAL SERVICES PRIVATE LIMITED,"React, Java, JavaScript",Lucknow,PhD
Thermal Engineer,NUCLEAR POWER CORPORATION OF INDIA LIMITED,"Transmission, Grid Management, Renewable Energy, Electrical Engineering",Pune,Diploma
Machine Learning Engineer,CUMMINS INDIA LIMITED,"Java, DevOps",Pune,BCA
Geologist,INOX AIR PRODUCTS PRIVATE LIMITED,"Refining, Reservoir Engineering",Ahmedabad,M.Sc
IT Support,INTERNATIONAL TRACTORS LIMITED,"Java, DevOps, React, Cybersecurity",Kolkata,B.Com
Distribution Executive,UPL LIMITED,"Brand Management, Consumer Insights, Distribution, Marketing",Bangalore,B.Tech
Marketing Executive,PROCTER & GAMBLE HOME PRODUCTS PRIVATE LIMITED,"Marketing, Brand Management, Retail Management, Supply Chain",Lucknow,PhD
Inventory Analyst,GMR HYDERABAD INTERNATIONAL AIRPORT LIMITED,"Transportation, Supply Chain Management, Procurement, Inventory Management",Bangalore,B.Sc
Safety Officer,HINDALCO INDUSTRIES LIMITED,"Environmental Compliance, Ore Processing, Safety Management",Delhi,BA
QA Engineer,HYUNDAI MOTOR INDIA LIMITED,"Machine Learning, SQL, JavaScript, DevOps",Chennai,B.Tech
Product Manager,JOHNSON & JOHNSON PRIVATE LIMITED,"Marketing, Brand Management, Consumer Insights",Bangalore,BA
Product Manager,GLAXOSMITHKLINE PHARMACEUTICALS LIMITED,"Retail Management, Brand Management, Consumer Insights, Supply Chain",Lucknow,PhD
Distribution Manager,SIKKA PORTS & TERMINALS LIMITED,"Warehouse Operations, Logistics Planning, Transportation, Inventory Management",Bangalore,BA
IT Support,HSBC ELECTRONIC DATA PROCESSING INDIA PRIVATE LIMITED,"Machine Learning, React, Python, DevOps",Chennai,BCA
Cloud Architect,KANSAI NEROLAC PAINTS LIMITED,"Java, JavaScript",Lucknow,BBA
Construction Manager,DEEPAK NITRITE LIMITED,"Construction Management, Estimation",Mumbai,Diploma
Data Analyst,SKODA AUTO VOLKSWAGEN INDIA PRIVATE LIMITED,"Data Analysis, Cloud Computing, Machine Learning, React",Chennai,PhD
Exploration Geologist,RUNGTA MINES LIMITED,"Surveying, Mining Engineering",Bangalore,BBA
Reservoir Engineer,HPCL-MITTAL ENERGY LIMITED,"Geology, Pipeline Maintenance, Reservoir Engineering",Chennai,MBA
QA Engineer,HCL TECHNOLOGIES LIMITED,"Cloud Computing, Java",Mumbai,PhD
Risk Analyst,THE FEDERAL BANK LTD,"Wealth Management, Loan Processing, Investment Banking",Remote,BCA
Software Developer,HERO MOTOCORP LIMITED,"React, Cybersecurity, Java",Jaipur,BBA
Brand Manager,MAHASHIAN DI HATTI PRIVATE LIMITED,"Marketing, Product Development",Kolkata,PhD
IT Support,NIPPON LIFE INDIA ASSET MANAGEMENT LIMITED,"SQL, JavaScript",Jaipur,BCA
Construction Manager,DILIP BUILDCON LIMITED,"Quality Control, Civil Engineering",Kolkata,B.Com
Financial Analyst,MAX LIFE INSURANCE COMPANY LIMITED,"Financial Modeling, Risk Management, Investment Banking, Taxation",Hyderabad,MBA
Retail Manager,GLENMARK PHARMACEUTICALS LIMITED,"Supply Chain, Retail Management, Brand Management, Distribution",Bangalore,BA
Software Developer,TOPCON SOKKIA INDIA PRIVATE LIMITED,"Machine Learning, Data Analysis, SQL",Pune,PhD
Web Developer,PERSISTENT SYSTEMS LIMITED,"Data Analysis, JavaScript, React",Hyderabad,B.Com
Design Engineer,TATA POWER DELHI DISTRIBUTION LIMITED,"Transmission, Power Plant Operations, Thermal Power, Electrical Engineering",Jaipur,M.Sc
Web Developer,ADOBE SYSTEMS INDIA PRIVATE LIMITED,"SQL, Java, Python, Cybersecurity",Hyderabad,Diploma
Supply Chain Analyst,PARLE BISCUITS PRIVATE LIMITED,"Supply Chain, Marketing, Distribution, Brand Management",Pune,B.Tech
Ore Processing Technician,RUNGTA MINES LIMITED,"Ore Processing, Mining Engineering",Pune,MBA
Construction Manager,G R INFRAPROJECTS LIMITED,"Estimation, Structural Design, Construction Management, Quality Control",Mumbai,B.Tech
Electronics Engineer,APPLE INDIA PRIVATE LIMITED,"Electronics Design, Manufacturing",Pune,Diploma
Cloud Architect,KAJARIA CERAMICS LIMITED,"React, Java, JavaScript, DevOps",Ahmedabad,BBA
Mining Engineer,BHARAT ALUMINIUM CO LTD,"Ore Processing, Mining Engineering, Mineral Processing, Safety Management",Bangalore,PhD
System Integrator,ERICSSON INDIA PRIVATE LIMITED,"Network Engineering, RF Engineering",Hyderabad,Diploma
DevOps Engineer,LIC HOUSING FINANCE LTD,"Cybersecurity, React, Cloud Computing",Jaipur,M.Sc
Customer Support Engineer,INDUS TOWERS LIMITED,"Data Transmission, Wireless Communication",Kolkata,MBA
Relationship Manager,ICICI LOMBARD GENERAL INSURANCE COMPANY LIMITED,"Wealth Management, Accounting",Pune,MBA
Reservoir Engineer,BHARAT PETROLEUM CORPORATION LIMITED,"Refining, Reservoir Engineering, Geology, Safety Compliance",Pune,PhD
Civil Engineer,GHCL LIMITED,"Quality Control, Safety Management, Construction Management, Project Management",Bangalore,BBA
Data Analyst,BAJAJ HOUSING FINANCE LIMITED,"DevOps, Python, Java, Data Analysis",Jaipur,B.Tech
Credit Analyst,EQUITAS SMALL FINANCE BANK LIMITED,"Risk Management, Auditing",Hyderabad,BA
Safety Officer,DCM SHRIRAM LIMITED,"Civil Engineering, Project Management, Construction Management, Safety Management",Lucknow,M.Sc
Consumer Insights Analyst,NIRMA LIMITED,"Retail Management, Supply Chain",Remote,BCA
Risk Analyst,TATA AIG GENERAL INSURANCE COMPANY LIMITED,"Risk Management, Taxation",Pune,B.Tech
Cloud Architect,ADITYA BIRLA FINANCE LIMITED,"Cybersecurity, Java, React, Data Analysis",Delhi,M.Sc
Software Developer,MACROTECH DEVELOPERS LIMITED,"Java, Python",Jaipur,BCA
Credit Analyst,HDFC LIFE INSURANCE COMPANY LIMITED,"Taxation, Investment Banking, Auditing",Remote,B.Sc
Retail Manager,MANKIND PHARMA LIMITED,"Brand Management, Consumer Insights, Distribution",Jaipur,BBA
Brand Manager,PIRAMAL PHARMA LIMITED,"Marketing, Sales, Consumer Insights",Lucknow,BCA
Software Developer,BERGER PAINTS INDIA LIMITED,"DevOps, React",Chennai,M.Sc
Safety Officer,RASHMI CEMENT LIMITED,"Civil Engineering, Safety Management",Delhi,BBA
Supply Chain Analyst,ADANI PORTS AND SPECIAL ECONOMIC ZONE LIMITED,"Freight Management, Procurement, Transportation, Warehouse Operations",Pune,B.Sc
IT Support,HSBC ELECTRONIC DATA PROCESSING INDIA PRIVATE LIMITED,"Machine Learning, React, Python, DevOps",Chennai,BCA
Thermal Engineer,KARNATAKA POWER TRANSMISSION CORPORATION LIMITED,"Energy Efficiency, Transmission, Thermal Power, Grid Management",Bangalore,MBA
Machine Learning Engineer,ORACLE INDIA PRIVATE LIMITED,"Machine Learning, React, Data Analysis, Python",Mumbai,MBA
DevOps Engineer,BRAKES INDIA PRIVATE LIMITED,"React, SQL, DevOps",Pune,B.Com
Thermal Engineer,TANJORE POWER LIMITED,"Maintenance, Electrical Engineering, Renewable Energy",Kolkata,BCA
Product Manager,SUN PHARMA LABORATORIES LIMITED,"Marketing, Supply Chain, Brand Management",Jaipur,M.Sc
Grid Engineer,NTPC LIMITED,"Power Plant Operations, Energy Efficiency, Grid Management",Lucknow,BA
IT Support,ECGC LIMITED,"Cloud Computing, Java, JavaScript",Pune,BCA
QA Engineer,KOTAK SECURITIES LIMITED,"React, DevOps",Bangalore,Diploma
Quality Inspector,COLOURTEX INDUSTRIES PRIVATE LIMITED,"Structural Design, Quality Control, Surveying, Project Management",Hyderabad,PhD
QA Engineer,GENPACT INDIA PRIVATE LIMITED,"JavaScript, SQL, Machine Learning",Hyderabad,BBA
Supply Chain Analyst,JOHNSON & JOHNSON PRIVATE LIMITED,"Sales, Supply Chain",Mumbai,B.Sc
Financial Analyst,BAJAJ ALLIANZ GENERAL INSURANCE COMPANY LIMITED,"Financial Modeling, Wealth Management, Investment Banking",Pune,BBA
Supply Chain Analyst,DIVI S LABORATORIES LIMITED,"Supply Chain, Sales",Remote,BCA
Maintenance Engineer,NUCLEAR POWER CORPORATION OF INDIA LIMITED,"Electrical Engineering, Transmission, Grid Management, Maintenance",Remote,MBA
Consumer Insights Analyst,NIRMA LIMITED,"Product Development, Marketing",Remote,PhD
Ore Processing Technician,MAHANADI COALFIELDS LIMITED,"Exploration, Mineral Processing, Geology",Chennai,Diploma
IT Support,CYBAGE SOFTWARE PRIVATE LIMITED,"Cloud Computing, Java, Python, Data Analysis",Bangalore,PhD
Machine Learning Engineer,CAN FIN HOMES LIMITED,"Cloud Computing, DevOps, Data Analysis",Jaipur,MBA
Supply Chain Analyst,CIPLA LIMITED,"Brand Management, Distribution, Product Development",Remote,M.Sc
Data Analyst,WNS GLOBAL SERVICES PRIVATE LIMITED,"Python, React, Java",Hyderabad,B.Com
Hardware Engineer,SAMSUNG INDIA ELECTRONICS PRIVATE LIMITED,"Testing, Circuit Design, R&D, Quality Control",Pune,MBA
Software Developer,BAJAJ HOLDINGS & INVESTMENT LIMITED.,"DevOps, Python, Data Analysis, Cloud Computing",Lucknow,Diploma
Quality Inspector,ULTRATECH CEMENT LIMITED,"Construction Management, Quality Control, Surveying",Ahmedabad,BA
Telecom Technician,INDUS TOWERS LIMITED,"IoT, Network Engineering, RF Engineering",Ahmedabad,PhD
IT Support,NOVATEUR ELECTRICAL & DIGITAL SYSTEMS PRIVATE LIMITED,"Cloud Computing, Machine Learning",Kolkata,B.Tech
Cloud Architect,INDIAN RAILWAY FINANCE CORPORATION LIMITED,"Java, React, JavaScript, Cloud Computing",Jaipur,BA
QA Engineer,RELIANCE INDUSTRIES LIMITED,"Cloud Computing, Data Analysis, JavaScript",Chennai,BBA
QA Engineer,ORACLE FINANCIAL SERVICES SOFTWARE LIMITED,"DevOps, SQL",Delhi,B.Tech
Software Developer,BOSCH GLOBAL SOFTWARE TECHNOLOGIES PRIVATE LIMITED,"SQL, Java, Cybersecurity, React",Kolkata,BA
